п/п;Бригада;Дата;Код;sample;Участок;Тип;ПР;ПК;H;D0;D1;D2;D3;D4;D5;L1;L2;L3;L4;Примечания;Крат_ПР;Крат_ПК;Дубль
4159;Захарова А.Е;07.19.2021;0300-0540;DG66-0300-0540;DG;66;0300;0540;0,7;B;4;5;3;1;1;3;3;1;0;;;;
4160;Захарова А.Е;07.19.2021;0300-0520;DG66-0300-0520;DG;66;0300;0520;0,7;B;4;5;3;1;1;3;3;1;0;;;;
4161;Захарова А.Е;07.19.2021;0320-0540K;DG66-0320-0540K;DG;66;0320;0540;0,8;B;4;5;3;2;1;3;3;1;0;(+Контрольная);;;
4162;Захарова А.Е;07.19.2021;0320-0540;DG66-0320-0540;DG;66;0320;0540;0,8;B;4;5;3;2;1;3;3;1;0;;;;
4163;Захарова А.Е;07.19.2021;0340-0720K;DG66-0340-0720K;DG;66;0340;0720;0,8;B;4;5;3;2;1;3;3;1;0;(+Контрольная);;;
4164;Захарова А.Е;07.19.2021;0340-0720;DG66-0340-0720;DG;66;0340;0720;0,8;B;4;5;3;2;1;3;3;1;0;;;;
4165;Захарова А.Е;07.20.2021;1180-0720;DG66-1180-0720;DG;66;1180;0720;0,8;B;4;7;3;1;2;3;3;1;0;;;;
4166;Захарова А.Е;07.20.2021;1180-0700;DG66-1180-0700;DG;66;1180;0700;0,8;B;4;7;3;1;2;3;3;1;0;;;;
4167;Захарова А.Е;07.20.2021;1180-0680;DG66-1180-0680;DG;66;1180;0680;0,8;B;4;7;3;1;1;3;3;1;0;;;;
4168;Захарова А.Е;07.20.2021;1180-0660;DG66-1180-0660;DG;66;1180;0660;0,7;B;4;7;3;1;1;3;3;1;0;;;;
4169;Захарова А.Е;07.20.2021;1180-0640;DG66-1180-0640;DG;66;1180;0640;0,7;B;4;6;3;1;1;3;3;1;0;;;;
4170;Захарова А.Е;07.20.2021;1180-0620;DG66-1180-0620;DG;66;1180;0620;0,8;B;4;6;3;1;1;3;3;1;0;;;;
4171;Захарова А.Е;07.20.2021;1180-0600;DG66-1180-0600;DG;66;1180;0600;0,8;B;4;6;3;1;1;3;3;1;0;;;;
4172;Захарова А.Е;07.20.2021;1180-0580;DG66-1180-0580;DG;66;1180;0580;0,7;B;4;6;3;1;1;3;3;1;0;;;;
4173;Захарова А.Е;07.20.2021;1180-0560;DG66-1180-0560;DG;66;1180;0560;0,8;B;4;6;3;1;1;3;3;1;0;;;;
4174;Захарова А.Е;07.20.2021;1180-0540;DG06-1180-0540;DG;06;1180;0540;0,8;B;4;6;3;1;1;3;3;1;0;;;;
4175;Захарова А.Е;07.20.2021;1180-0520;DG06-1180-0520;DG;06;1180;0520;0,7;B;4;6;2;2;2;3;3;1;0;;;;
4176;Захарова А.Е;07.20.2021;1180-0500;DG06-1180-0500;DG;06;1180;0500;0,8;B;4;5;2;2;2;3;3;1;0;;;;
4177;Захарова А.Е;07.20.2021;1180-0480;DG06-1180-0480;DG;06;1180;0480;0,7;B;4;5;2;2;2;3;3;1;0;;;;
4178;Захарова А.Е;07.20.2021;1180-0460;DG06-1180-0460;DG;06;1180;0460;0,8;B;4;5;2;2;2;3;3;1;0;;;;
4179;Захарова А.Е;07.20.2021;1180-0440;DG06-1180-0440;DG;06;1180;0440;0,7;B;4;5;2;2;2;3;3;1;0;;;;
4180;Захарова А.Е;07.20.2021;1180-0420;DG06-1180-0420;DG;06;1180;0420;0,7;B;4;5;3;1;2;3;3;1;0;;;;
4181;Захарова А.Е;07.20.2021;1200-0420;DG06-1200-0420;DG;06;1200;0420;0,7;B;4;7;3;1;2;3;3;1;0;;;;
4182;Захарова А.Е;07.20.2021;1200-0440;DG06-1200-0440;DG;06;1200;0440;0,8;B;4;6;4;2;2;3;3;1;0;;;;
4183;Захарова А.Е;07.20.2021;1200-0440K;DG06-1200-0440K;DG;06;1200;0440;0,8;B;4;6;3;2;2;3;3;1;0;(+Контрольная);;;
4184;Захарова А.Е;07.20.2021;1200-0460;DG06-1200-0460;DG;06;1200;0460;0,8;B;4;6;3;2;2;3;3;1;0;;;;
4185;Захарова А.Е;07.20.2021;1200-0460K;DG06-1200-0460K;DG;06;1200;0460;0,8;B;4;6;3;1;1;3;3;1;0;(+Контрольная);;;
4186;Захарова А.Е;07.20.2021;1200-0480;DG06-1200-0480;DG;06;1200;0480;0,7;B;4;6;3;1;1;3;3;1;0;;;;
4187;Захарова А.Е;07.20.2021;1200-0500;DG06-1200-0500;DG;06;1200;0500;0,8;B;4;6;3;2;1;3;3;1;0;;;;
4188;Захарова А.Е;07.20.2021;1200-0520;DG66-1200-0520;DG;66;1200;0520;0,8;B;4;5;3;2;1;3;3;1;0;;;;
4189;Захарова А.Е;07.20.2021;1200-0540;DG66-1200-0540;DG;66;1200;0540;0,8;B;4;6;3;1;1;3;3;1;0;;;;
4190;Захарова А.Е;07.20.2021;1200-0560;DG66-1200-0560;DG;66;1200;0560;0,7;B;4;6;3;1;1;3;3;1;0;;;;
4191;Захарова А.Е;07.20.2021;1200-0580;DG66-1200-0580;DG;66;1200;0580;0,8;B;4;6;3;1;1;3;3;1;0;;;;
4192;Захарова А.Е;07.20.2021;1200-0600;DG66-1200-0600;DG;66;1200;0600;0,7;B;4;6;3;1;1;3;3;1;0;;;;
4193;Захарова А.Е;07.20.2021;1200-0620;DG66-1200-0620;DG;66;1200;0620;0,8;B;4;6;3;1;1;3;3;1;0;;;;
4194;Захарова А.Е;07.20.2021;1200-0640;DG66-1200-0640;DG;66;1200;0640;0,7;B;4;6;3;1;1;3;3;1;0;;;;
4195;Захарова А.Е;07.20.2021;1200-0660;DG66-1200-0660;DG;66;1200;0660;0,7;B;4;6;2;1;1;3;3;1;0;;;;
4196;Захарова А.Е;07.20.2021;1200-0680;DG66-1200-0680;DG;66;1200;0680;0,8;B;4;6;2;1;1;3;3;1;0;;;;
4197;Захарова А.Е;07.20.2021;1200-0700;DG66-1200-0700;DG;66;1200;0700;0,8;B;4;6;2;1;1;3;3;1;0;;;;
4198;Захарова А.Е;07.20.2021;1200-0720;DG66-1200-0720;DG;66;1200;0720;0,7;B;4;6;3;1;1;3;3;1;0;;;;
4199;Захарова А.Е;07.20.2021;1200-0740;DG66-1200-0740;DG;66;1200;0740;0,6;B;4;6;3;1;1;3;3;1;0;;;;
4200;Захарова А.Е;07.20.2021;1200-0760;DG66-1200-0760;DG;66;1200;0760;0,7;B;4;6;2;1;1;3;3;1;0;;;;
4201;Захарова А.Е;07.20.2021;1200-0780;DG66-1200-0780;DG;66;1200;0780;0,7;B;4;6;2;1;1;3;3;1;0;;;;
4202;Захарова А.Е;07.20.2021;1180-0780;DG66-1180-0780;DG;66;1180;0780;0,7;B;4;6;2;1;1;3;3;1;0;;;;
4203;Захарова А.Е;07.20.2021;1180-0760;DG66-1180-0760;DG;66;1180;0760;0,7;B;4;6;2;1;1;3;3;1;0;;;;
4204;Захарова А.Е;07.20.2021;1180-0740;DG66-1180-0740;DG;66;1180;0740;0,8;B;4;6;2;1;1;3;3;1;0;;;;
4205;Гришукин И. В.;07.22.2021;0680-0760;DG06-0680-0760;DG;06;0680;0760;0,4;B;4;7;2;2;2;3;5;1;0;;;;
4206;Гришукин И. В.;07.22.2021;0680-0740;DG06-0680-0740;DG;06;0680;0740;0,4;B;4;7;2;2;2;3;5;1;0;;;;
4207;Гришукин И. В.;07.22.2021;0680-0720;DG06-0680-0720;DG;06;0680;0720;0,4;B;4;7;2;2;2;3;5;1;0;;;;
4208;Гришукин И. В.;07.22.2021;0680-0700;DG06-0680-0700;DG;06;0680;0700;0,4;B;4;7;2;2;2;3;5;1;0;;;;
4209;Гришукин И. В.;07.22.2021;0680-0680;DG06-0680-0680;DG;06;0680;0680;0,4;B;4;7;2;2;2;3;5;1;0;;;;
4210;Гришукин И. В.;07.22.2021;0680-0660;DG06-0680-0660;DG;06;0680;0660;0,4;B;4;7;2;2;2;3;5;1;0;;;;
4211;Гришукин И. В.;07.22.2021;0680-0640;DG06-0680-0640;DG;06;0680;0640;0,4;B;4;7;2;2;2;3;5;1;0;;;;
4212;Гришукин И. В.;07.22.2021;0680-0620;DG06-0680-0620;DG;06;0680;0620;0,4;B;4;7;2;2;2;3;5;1;0;;;;
4213;Гришукин И. В.;07.22.2021;0680-0600;DG66-0680-0600;DG;66;0680;0600;0,4;B;4;7;2;1;2;3;5;1;0;;;;
4214;Гришукин И. В.;07.22.2021;0680-0580;DG66-0680-0580;DG;66;0680;0580;0,4;B;4;7;2;1;2;3;5;1;0;;;;
4215;Гришукин И. В.;07.22.2021;0680-0560;DG66-0680-0560;DG;66;0680;0560;0,4;B;4;7;2;1;2;3;5;1;0;;;;
4216;Гришукин И. В.;07.22.2021;0680-0540;DG66-0680-0540;DG;66;0680;0540;0,4;B;4;7;2;1;2;3;5;1;0;;;;
4217;Гришукин И. В.;07.22.2021;0680-0520;DG66-0680-0520;DG;66;0680;0520;0,4;B;4;7;2;1;2;3;5;1;0;;;;
4218;Гришукин И. В.;07.22.2021;0680-0500;DG66-0680-0500;DG;66;0680;0500;0,4;B;4;7;2;1;2;3;5;1;0;;;;
4219;Гришукин И. В.;07.22.2021;0680-0480;DG66-0680-0480;DG;66;0680;0480;0,4;B;4;7;2;1;2;3;5;1;0;;;;
4220;Гришукин И. В.;07.22.2021;0680-0460;DG66-0680-0460;DG;66;0680;0460;0,4;B;4;7;2;1;2;3;5;1;0;;;;
4221;Гришукин И. В.;07.22.2021;0680-0440;DG66-0680-0440;DG;66;0680;0440;0,4;B;4;7;2;1;2;3;5;1;0;;;;
4222;Гришукин И. В.;07.22.2021;0680-0420;DG66-0680-0420;DG;66;0680;0420;0,4;B;4;7;2;1;2;3;5;1;0;;;;
4223;Гришукин И. В.;07.22.2021;0680-0400;DG06-0680-0400;DG;06;0680;0400;0,4;B;4;7;2;2;2;3;5;1;0;;;;
4224;Гришукин И. В.;07.22.2021;0680-0400K;DG06-0680-0400K;DG;06;0680;0400;0,4;B;4;7;2;2;2;3;5;1;0;(+Контрольная);;;
4225;Гришукин И. В.;07.22.2021;0680-0380;DG06-0680-0380;DG;06;0680;0380;0,4;B;4;7;2;2;2;3;5;1;0;;;;
4226;Гришукин И. В.;07.22.2021;0680-0360;DG06-0680-0360;DG;06;0680;0360;0,4;B;4;7;2;2;2;3;5;1;0;;;;
4227;Гришукин И. В.;07.22.2021;0680-0340;DG06-0680-0340;DG;06;0680;0340;0,4;B;4;7;2;2;2;3;5;1;0;;;;
4228;Гришукин И. В.;07.22.2021;0680-0340K;DG06-0680-0340K;DG;06;0680;0340;0,4;B;4;7;2;2;2;3;5;1;0;(+Контрольная);;;
4229;Гришукин И. В.;07.22.2021;0660-0320;DG06-0660-0320;DG;06;0660;0320;0,4;B;4;7;2;2;2;3;5;1;0;;;;
4230;Гришукин И. В.;07.22.2021;0660-0340;DG06-0660-0340;DG;06;0660;0340;0,4;B;4;7;2;2;2;3;5;1;0;;;;
4231;Гришукин И. В.;07.22.2021;0660-0360;DG06-0660-0360;DG;06;0660;0360;0,4;B;4;7;2;2;2;3;5;1;0;;;;
4232;Гришукин И. В.;07.22.2021;0660-0380;DG06-0660-0380;DG;06;0660;0380;0,4;B;4;7;2;2;2;3;5;1;0;;;;
4233;Гришукин И. В.;07.22.2021;0660-0380K;DG06-0660-0380K;DG;06;0660;0380;0,4;B;4;7;2;2;2;3;5;1;0;(+Контрольная);;;
4234;Гришукин И. В.;07.22.2021;0660-0400;DG66-0660-0400;DG;66;0660;0400;0,4;B;4;7;2;1;2;3;5;1;0;;;;
4235;Гришукин И. В.;07.22.2021;0660-0420;DG66-0660-0420;DG;66;0660;0420;0,4;B;4;7;2;1;2;3;5;1;0;;;;
4236;Гришукин И. В.;07.22.2021;0660-0440;DG66-0660-0440;DG;66;0660;0440;0,4;B;4;7;2;1;2;3;5;1;0;;;;
4237;Гришукин И. В.;07.22.2021;0660-0460;DG66-0660-0460;DG;66;0660;0460;0,4;B;4;7;2;1;2;3;5;1;0;;;;
4238;Гришукин И. В.;07.22.2021;0660-0480;DG66-0660-0480;DG;66;0660;0480;0,4;B;4;7;2;1;2;3;5;1;0;;;;
4239;Гришукин И. В.;07.22.2021;0660-0500;DG66-0660-0500;DG;66;0660;0500;0,4;B;4;7;2;1;2;3;5;1;0;;;;
4240;Гришукин И. В.;07.22.2021;0660-0520;DG66-0660-0520;DG;66;0660;0520;0,4;B;4;7;2;1;2;3;5;1;0;;;;
4241;Гришукин И. В.;07.22.2021;0660-0540;DG66-0660-0540;DG;66;0660;0540;0,4;B;4;7;2;1;2;3;5;1;0;;;;
4242;Гришукин И. В.;07.22.2021;0660-0560;DG66-0660-0560;DG;66;0660;0560;0,4;B;4;7;2;1;2;3;5;1;0;;;;
4243;Гришукин И. В.;07.22.2021;0660-0580;DG66-0660-0580;DG;66;0660;0580;0,4;B;4;7;2;1;2;3;5;1;0;;;;
4244;Гришукин И. В.;07.22.2021;0660-0600;DG66-0660-0600;DG;66;0660;0600;0,4;B;4;7;2;1;2;3;5;1;0;;;;
4245;Гришукин И. В.;07.22.2021;0660-0620;DG66-0660-0620;DG;66;0660;0620;0,4;B;4;7;2;1;2;3;5;1;0;;;;
4246;Гришукин И. В.;07.22.2021;0660-0640K;DG06-0660-0640K;DG;06;0660;0640;0,4;B;4;7;2;2;2;3;5;1;0;(+Контрольная);;;
4247;Гришукин И. В.;07.22.2021;0660-0640;DG06-0660-0640;DG;06;0660;0640;0,4;B;4;7;2;2;2;3;5;1;0;;;;
4248;Гришукин И. В.;07.22.2021;0660-0660;DG06-0660-0660;DG;06;0660;0660;0,4;B;4;7;2;2;2;3;5;1;0;;;;
4249;Гришукин И. В.;07.22.2021;0660-0680;DG06-0660-0680;DG;06;0660;0680;0,4;B;4;7;2;2;2;3;5;1;0;;;;
4250;Гришукин И. В.;07.22.2021;0660-0700;DG06-0660-0700;DG;06;0660;0700;0,8;B;4;7;2;2;2;3;5;1;0;;;;
4251;Гришукин И. В.;07.22.2021;0660-0720;DG06-0660-0720;DG;06;0660;0720;0,4;B;4;7;2;2;2;3;5;1;0;;;;
4252;Гришукин И. В.;07.22.2021;0660-0720K;DG06-0660-0720K;DG;06;0660;0720;0,4;B;4;7;2;2;2;3;5;1;0;(+Контрольная);;;
4253;Гришукин И. В.;07.22.2021;0660-0740;DG06-0660-0740;DG;06;0660;0740;0,4;B;4;7;2;2;2;3;5;1;0;;;;
4254;Гришукин И. В.;07.22.2021;0660-0760;DG06-0660-0760;DG;06;0660;0760;0,4;B;4;7;2;2;2;3;5;1;0;;;;
4255;Гришукин И. В.;07.22.2021;0660-0760K;DG06-0660-0760K;DG;06;0660;0760;0,4;B;4;7;2;2;2;3;5;1;0;(+Контрольная);;;
4256;Гришукин И. В.;07.22.2021;0660-0780;DG06-0660-0780;DG;06;0660;0780;0,4;B;4;7;2;2;2;3;5;1;0;;;;
4257;Гришукин И. В.;07.22.2021;0680-0780;DG06-0680-0780;DG;06;0680;0780;0,4;B;4;7;2;2;2;3;5;1;0;;;;
4258;Гришукин И. В.;07.22.2021;0680-0800;DG06-0680-0800;DG;06;0680;0800;0,4;B;4;7;2;2;2;3;5;1;0;;;;
4259;Гришукин И. В.;07.22.2021;0680-0800K;DG06-0680-0800K;DG;06;0680;0800;0,4;B;4;7;2;2;2;3;5;1;0;(+Контрольная);;;
4260;Гришукин И. В.;07.22.2021;0660-0800;DG06-0660-0800;DG;06;0660;0800;0,4;B;4;7;2;2;2;3;5;1;0;;;;
4261;Гришукин И. В.;07.22.2021;0680-0820;DG06-0680-0820;DG;06;0680;0820;0,4;B;4;7;2;2;2;3;5;1;0;;;;
4262;Гришукин И. В.;07.22.2021;0660-0820K;DG06-0660-0820K;DG;06;0660;0820;0,4;B;4;7;2;2;2;3;5;1;0;(+Контрольная);;;
4263;Гришукин И. В.;07.22.2021;0660-0820;DG06-0660-0820;DG;06;0660;0820;0,4;B;4;7;2;2;2;3;5;1;0;;;;
4264;Гришукин И. В.;07.23.2021;0760-0780;DG66-0760-0780;DG;66;0760;0780;0,4;B;4;7;2;1;2;3;5;1;0;;;;
4265;Гришукин И. В.;07.23.2021;0740-0780;DG66-0740-0780;DG;66;0740;0780;0,4;B;4;7;2;1;2;3;5;1;0;;;;
4266;Гришукин И. В.;07.23.2021;0720-0780;DG66-0720-0780;DG;66;0720;0780;0,4;B;4;7;2;1;2;3;5;1;0;;;;
4267;Гришукин И. В.;07.23.2021;0700-0780;DG66-0700-0780;DG;66;0700;0780;0,4;B;4;7;2;1;2;3;5;1;0;;;;
4268;Гришукин И. В.;07.23.2021;0680-0780;DG66-0680-0780;DG;66;0680;0780;0,4;B;4;7;2;1;2;3;5;1;0;;;;
4269;Гришукин И. В.;07.23.2021;0660-0780;DG66-0660-0780;DG;66;0660;0780;0,4;B;4;7;2;1;2;3;5;1;0;;;;
4270;Гришукин И. В.;07.23.2021;0640-0780;DG06-0640-0780;DG;06;0640;0780;0,4;B;4;7;2;2;2;3;5;1;0;;;;
4271;Гришукин И. В.;07.23.2021;0620-0780;DG06-0620-0780;DG;06;0620;0780;0,4;B;4;7;2;2;2;3;5;1;0;;;;
4272;Гришукин И. В.;07.23.2021;0600-0780;DG06-0600-0780;DG;06;0600;0780;0,4;B;4;7;2;2;2;3;5;1;0;;;;
4273;Гришукин И. В.;07.23.2021;0580-0780;DG06-0580-0780;DG;06;0580;0780;0,4;B;4;7;2;2;2;3;5;1;0;;;;
4274;Гришукин И. В.;07.23.2021;0560-0780;DG66-0560-0780;DG;66;0560;0780;0,4;B;4;7;2;1;2;3;5;1;0;;;;
4275;Гришукин И. В.;07.23.2021;0540-0780;DG66-0540-0780;DG;66;0540;0780;0,4;B;4;7;2;1;2;3;5;1;0;;;;
4276;Гришукин И. В.;07.23.2021;0520-0780;DG66-0520-0780;DG;66;0520;0780;0,4;B;4;7;2;1;2;3;5;1;0;;;;
4277;Гришукин И. В.;07.23.2021;0500-0780;DG66-0500-0780;DG;66;0500;0780;0,4;B;4;7;2;1;2;3;5;1;0;;;;
4278;Гришукин И. В.;07.23.2021;0480-0780;DG66-0480-0780;DG;66;0480;0780;0,4;B;4;7;2;1;2;3;5;1;0;;;;
4279;Гришукин И. В.;07.23.2021;0480-0760;DG66-0480-0760;DG;66;0480;0760;0,4;B;4;7;2;1;2;3;5;1;0;;;;
4280;Гришукин И. В.;07.23.2021;0500-0740;DG66-0500-0740;DG;66;0500;0740;0,4;B;4;7;2;1;2;3;5;1;0;;;;
4281;Гришукин И. В.;07.23.2021;0500-0760;DG66-0500-0760;DG;66;0500;0760;0,4;B;4;7;2;1;2;3;5;1;0;;;;
4282;Гришукин И. В.;07.23.2021;0520-0760;DG66-0520-0760;DG;66;0520;0760;0,4;B;4;7;2;1;2;3;5;1;0;;;;
4283;Гришукин И. В.;07.23.2021;0520-0740;DG66-0520-0740;DG;66;0520;0740;0,4;B;4;7;2;1;2;3;5;1;0;;;;
4284;Гришукин И. В.;07.23.2021;0520-0720;DG66-0520-0720;DG;66;0520;0720;0,4;B;4;7;2;1;2;3;5;1;0;;;;
4285;Гришукин И. В.;07.23.2021;0520-0700;DG66-0520-0700;DG;66;0520;0700;0,4;B;4;7;2;1;2;3;5;1;0;;;;
4286;Гришукин И. В.;07.23.2021;0540-0680;DG66-0540-0680;DG;66;0540;0680;0,4;B;4;7;2;1;2;3;5;1;0;;;;
4287;Гришукин И. В.;07.23.2021;0560-0680;DG66-0560-0680;DG;66;0560;0680;0,4;B;4;7;2;1;2;3;5;1;0;;;;
4288;Гришукин И. В.;07.23.2021;0560-0700;DG66-0560-0700;DG;66;0560;0700;0,4;B;4;7;2;1;2;3;5;1;0;;;;
4289;Гришукин И. В.;07.23.2021;0540-0700;DG66-0540-0700;DG;66;0540;0700;0,4;B;4;7;2;1;2;3;5;1;0;;;;
4290;Гришукин И. В.;07.23.2021;0540-0720;DG66-0540-0720;DG;66;0540;0720;0,4;B;4;7;2;1;2;3;5;1;0;;;;
4291;Гришукин И. В.;07.23.2021;0560-0720;DG66-0560-0720;DG;66;0560;0720;0,4;B;4;7;2;1;2;3;5;1;0;;;;
4292;Гришукин И. В.;07.23.2021;0560-0740;DG66-0560-0740;DG;66;0560;0740;0,4;B;4;7;2;1;2;3;5;1;0;;;;
4293;Гришукин И. В.;07.23.2021;0540-0740;DG66-0540-0740;DG;66;0540;0740;0,4;B;4;7;2;1;2;3;5;1;0;;;;
4294;Гришукин И. В.;07.23.2021;0540-0760;DG66-0540-0760;DG;66;0540;0760;0,4;B;4;7;2;1;2;3;5;1;0;;;;
4295;Гришукин И. В.;07.23.2021;0560-0760;DG66-0560-0760;DG;66;0560;0760;0,4;B;4;7;2;1;2;3;5;1;0;;;;
4296;Гришукин И. В.;07.23.2021;0580-0760;DG06-0580-0760;DG;06;0580;0760;0,4;B;4;7;2;2;2;3;5;1;0;;;;
4297;Гришукин И. В.;07.23.2021;0580-0740;DG06-0580-0740;DG;06;0580;0740;0,4;B;4;7;2;2;2;3;5;1;0;;;;
4298;Гришукин И. В.;07.23.2021;0580-0720;DG06-0580-0720;DG;06;0580;0720;0,4;B;4;7;2;2;2;3;5;1;0;;;;
4299;Гришукин И. В.;07.23.2021;0600-0720;DG06-0600-0720;DG;06;0600;0720;0,4;B;4;7;2;2;2;3;5;1;0;;;;
4300;Гришукин И. В.;07.23.2021;0600-0740;DG06-0600-0740;DG;06;0600;0740;0,4;B;4;7;2;2;2;3;5;1;0;;;;
4301;Гришукин И. В.;07.23.2021;0600-0760;DG06-0600-0760;DG;06;0600;0760;0,4;B;4;7;2;2;2;3;5;1;0;;;;
4302;Гришукин И. В.;07.23.2021;0620-0760;DG06-0620-0760;DG;06;0620;0760;0,4;B;4;7;2;2;2;3;5;1;0;;;;
4303;Гришукин И. В.;07.23.2021;0640-0760;DG06-0640-0760;DG;06;0640;0760;0,4;B;4;7;2;2;2;3;5;1;0;;;;
4304;Гришукин И. В.;07.24.2021;0660-1080;DG66-0660-1080;DG;66;0660;1080;0,4;B;4;7;2;1;2;3;5;1;0;;;;
4305;Гришукин И. В.;07.24.2021;0660-1060;DG66-0660-1060;DG;66;0660;1060;0,4;B;4;7;2;1;2;3;5;1;0;;;;
4306;Гришукин И. В.;07.24.2021;0640-1060;DG66-0640-1060;DG;66;0640;1060;0,4;B;4;7;2;1;2;3;5;1;0;;;;
4307;Гришукин И. В.;07.24.2021;0640-1080;DG66-0640-1080;DG;66;0640;1080;0,4;B;4;7;2;1;2;3;5;1;0;;;;
4308;Гришукин И. В.;07.24.2021;0620-1080;DG66-0620-1080;DG;66;0620;1080;0,4;B;4;7;2;1;2;3;5;1;0;;;;
4309;Гришукин И. В.;07.24.2021;0620-1060;DG66-0620-1060;DG;66;0620;1060;0,4;B;4;7;2;1;2;3;5;1;0;;;;
4310;Гришукин И. В.;07.24.2021;0600-1060;DG66-0600-1060;DG;66;0600;1060;0,4;B;4;7;2;1;2;3;5;1;0;;;;
4311;Гришукин И. В.;07.24.2021;0600-1080;DG66-0600-1080;DG;66;0600;1080;0,4;B;4;7;2;1;2;3;5;1;0;;;;
4312;Гришукин И. В.;07.24.2021;0580-1080;DG66-0580-1080;DG;66;0580;1080;0,4;B;4;7;2;1;2;3;5;1;0;;;;
4313;Гришукин И. В.;07.24.2021;0580-1060K;DG06-0580-1060K;DG;06;0580;1060;0,4;B;4;7;2;2;2;3;5;1;0;(+Контрольная);;;
4314;Гришукин И. В.;07.24.2021;0580-1060;DG06-0580-1060;DG;06;0580;1060;0,4;B;4;7;2;2;2;3;5;1;0;;;;
4315;Гришукин И. В.;07.24.2021;0560-1060K;DG06-0560-1060K;DG;06;0560;1060;0,4;B;4;7;2;2;2;3;5;1;0;(+Контрольная);;;
4316;Гришукин И. В.;07.24.2021;0560-1060;DG06-0560-1060;DG;06;0560;1060;0,4;B;4;7;2;2;2;3;5;1;0;;;;
4317;Гришукин И. В.;07.24.2021;0560-1080;DG06-0560-1080;DG;06;0560;1080;0,4;B;4;7;2;2;2;3;5;1;0;;;;
4318;Гришукин И. В.;07.24.2021;0560-1080K;DG06-0560-1080K;DG;06;0560;1080;0,4;B;4;7;2;2;2;3;5;1;0;(+Контрольная);;;
4319;Гришукин И. В.;07.24.2021;0540-1080;DG66-0540-1080;DG;66;0540;1080;0,4;B;4;7;2;1;2;3;5;1;0;;;;
4320;Гришукин И. В.;07.24.2021;0540-1060;DG66-0540-1060;DG;66;0540;1060;0,4;B;4;7;2;1;2;3;5;1;0;;;;
4321;Гришукин И. В.;07.24.2021;0520-1060;DG66-0520-1060;DG;66;0520;1060;0,4;B;4;7;4;1;2;1;3;1;0;;;;
4322;Гришукин И. В.;07.24.2021;0520-1080;DG66-0520-1080;DG;66;0520;1080;0,4;B;4;7;4;1;2;1;3;1;0;;;;
4323;Гришукин И. В.;07.24.2021;0500-1080;DG66-0500-1080;DG;66;0500;1080;0,4;B;4;7;4;1;2;1;3;1;0;;;;
4324;Гришукин И. В.;07.24.2021;0500-1060;DG66-0500-1060;DG;66;0500;1060;0,4;B;4;7;4;1;2;1;3;1;0;;;;
4325;Гришукин И. В.;07.24.2021;0480-1060;DG66-0480-1060;DG;66;0480;1060;0,4;B;4;7;4;1;2;1;3;1;0;;;;
4326;Гришукин И. В.;07.24.2021;0480-1080;DG66-0480-1080;DG;66;0480;1080;0,4;B;4;7;4;1;2;1;3;1;0;;;;
4327;Гришукин И. В.;07.24.2021;0460-1060;DG66-0460-1060;DG;66;0460;1060;0,4;B;4;7;4;1;2;1;3;1;0;;;;
4328;Гришукин И. В.;07.24.2021;0440-1040;DG66-0440-1040;DG;66;0440;1040;0,4;B;4;7;4;1;2;1;3;1;0;;;;
4329;Гришукин И. В.;07.24.2021;0460-1040;DG66-0460-1040;DG;66;0460;1040;0,4;B;4;7;4;1;2;1;3;1;0;;;;
4330;Гришукин И. В.;07.24.2021;0480-1040;DG66-0480-1040;DG;66;0480;1040;0,4;B;4;7;4;1;2;1;3;1;0;;;;
4331;Гришукин И. В.;07.24.2021;0500-1040;DG66-0500-1040;DG;66;0500;1040;0,4;B;4;7;2;1;2;3;5;1;0;;;;
4332;Гришукин И. В.;07.24.2021;0520-1040;DG66-0520-1040;DG;66;0520;1040;0,4;B;4;7;2;1;2;3;5;1;0;;;;
4333;Гришукин И. В.;07.24.2021;0540-1040K;DG06-0540-1040K;DG;06;0540;1040;0,4;B;4;7;2;2;2;3;5;1;0;(+Контрольная);;;
4334;Гришукин И. В.;07.24.2021;0540-1040;DG06-0540-1040;DG;06;0540;1040;0,4;B;4;7;2;2;2;3;5;1;0;;;;
4335;Гришукин И. В.;07.24.2021;0560-1040K;DG06-0560-1040K;DG;06;0560;1040;0,4;B;4;7;2;2;2;3;5;1;0;(+Контрольная);;;
4336;Гришукин И. В.;07.24.2021;0560-1040;DG06-0560-1040;DG;06;0560;1040;0,4;B;4;7;2;2;2;3;5;1;0;;;;
4337;Гришукин И. В.;07.24.2021;0580-1040K;DG06-0580-1040K;DG;06;0580;1040;0,4;B;4;7;2;2;2;3;5;1;0;(+Контрольная);;;
4338;Гришукин И. В.;07.24.2021;0580-1040;DG06-0580-1040;DG;06;0580;1040;0,4;B;4;7;2;2;2;3;5;1;0;;;;
4339;Гришукин И. В.;07.24.2021;0600-1040K;DG06-0600-1040K;DG;06;0600;1040;0,4;B;4;7;2;2;2;3;5;1;0;(+Контрольная);;;
4340;Гришукин И. В.;07.24.2021;0600-1040;DG06-0600-1040;DG;06;0600;1040;0,4;B;4;7;2;2;2;3;5;1;0;;;;
4341;Гришукин И. В.;07.24.2021;0620-1040;DG66-0620-1040;DG;66;0620;1040;0,4;B;4;7;2;1;2;3;5;1;0;;;;
