Код;Y;X;Z;Флаг;;;;;;;;;;;;;;
0060-1220;51.44462 ;118.17816;799 m;Flag, Red;;;;;;;;;;;;;;
0060-1240;51.44381 ;118.18051;791 m;Flag, Red;;;;;;;;;;;;;;
0060-1260;51.44273 ;118.18390;777 m;Flag, Red;;;;;;;;;;;;;;
0060-1260K;51.44273 ;118.18390;777 m;Waypoint;;;;;;;;;;;;;;Категория 2
0060-1280;51.44191 ;118.18549;763 m;Flag, Red;;;;;;;;;;;;;;
0060-1280K;51.44191 ;118.18549;763 m;Waypoint;;;;;;;;;;;;;;Категория 2
0060-1300;51.44101 ;118.18786;754 m;Flag, Red;;;;;;;;;;;;;;
0060-1320;51.44004 ;118.19028;754 m;Flag, Red;;;;;;;;;;;;;;
0060-1320K;51.44004 ;118.19028;754 m;Waypoint;;;;;;;;;;;;;;Категория 2
0060-1340;51.43902 ;118.19273;753 m;Flag, Red;;;;;;;;;;;;;;
0060-1340K;51.43902 ;118.19273;753 m;Waypoint;;;;;;;;;;;;;;Категория 2
0060-1360;51.43831 ;118.19488;756 m;Flag, Red;;;;;;;;;;;;;;
0060-1380;51.43750 ;118.19687;760 m;Flag, Red;;;;;;;;;;;;;;
0060-1400;51.43628 ;118.20019;739 m;Flag, Red;;;;;;;;;;;;;;
0060-1400K;51.43628 ;118.20019;739 m;Waypoint;;;;;;;;;;;;;;Категория 2
0060-1420;51.43541 ;118.20265;736 m;Flag, Red;;;;;;;;;;;;;;
0060-1440;51.43439 ;118.20499;724 m;Flag, Red;;;;;;;;;;;;;;
0060-1460;51.43359 ;118.20719;720 m;Flag, Red;;;;;;;;;;;;;;
0060-1480;51.43261 ;118.21004;706 m;Flag, Green;;;;;;;;;;;;;;
0060-1500;51.43168 ;118.21257;698 m;Flag, Green;;;;;;;;;;;;;;
0060-1520;51.43105 ;118.21416;685 m;Flag, Green;;;;;;;;;;;;;;
0080-0040;51.50002 ;118.03474;753 m;Flag, Green;;;;;;;;;;;;;;
0080-0060;51.49956 ;118.03657;753 m;Flag, Green;;;;;;;;;;;;;;
0080-0080;51.49864 ;118.03940;752 m;Flag, Green;;;;;;;;;;;;;;
0080-0100;51.49804 ;118.04118;756 m;Flag, Green;;;;;;;;;;;;;;
0080-0120;51.49673 ;118.04479;791 m;Flag, Red;;;;;;;;;;;;;;
0080-0140;51.49592 ;118.04598;778 m;Flag, Red;;;;;;;;;;;;;;
0080-0160;51.49520 ;118.04896;753 m;Flag, Red;;;;;;;;;;;;;;
0080-0180;51.49429 ;118.05078;754 m;Flag, Green;;;;;;;;;;;;;;
0080-0200;51.49323 ;118.05388;756 m;Flag, Green;;;;;;;;;;;;;;
0080-0220;51.49249 ;118.05595;776 m;Flag, Red;;;;;;;;;;;;;;
0080-0240;51.49144 ;118.05850;805 m;Flag, Red;;;;;;;;;;;;;;
0080-0260;51.49031 ;118.06050;817 m;Flag, Red;;;;;;;;;;;;;;
0080-0280;51.48893 ;118.06288;843 m;Flag, Red;;;;;;;;;;;;;;
0080-0300;51.48798 ;118.06528;813 m;Flag, Red;;;;;;;;;;;;;;
0080-0320;51.48744 ;118.06832;792 m;Flag, Red;;;;;;;;;;;;;;
0080-0340;51.48721 ;118.07164;771 m;Flag, Red;;;;;;;;;;;;;;
0080-0360;51.48597 ;118.07272;764 m;Flag, Red;;;;;;;;;;;;;;
0080-0380;51.48470 ;118.07487;760 m;Flag, Red;;;;;;;;;;;;;;
0080-0400;51.48401 ;118.07831;;Crossing;;;;;;;;;;;;;;
0080-0420;51.48293 ;118.07944;740 m;Flag, Green;;;;;;;;;;;;;;
0080-0440;51.48159 ;118.08450;742 m;Flag, Green;;;;;;;;;;;;;;
0080-0460;51.48102 ;118.08680;748 m;Flag, Green;;;;;;;;;;;;;;
0080-0480;51.48018 ;118.08859;760 m;Flag, Green;;;;;;;;;;;;;;
0080-0500;51.47904 ;118.09017;796 m;Flag, Red;;;;;;;;;;;;;;
0080-0520;51.47816 ;118.09308;800 m;Flag, Red;;;;;;;;;;;;;;
0080-0540;51.47743 ;118.09548;817 m;Flag, Red;;;;;;;;;;;;;;
0080-0560;51.47640 ;118.09781;819 m;Flag, Red;;;;;;;;;;;;;;
