Код;Y;X;Z;Флаг;;;;;;;;;;;;;;
1480-0920;51.56771 ;118.24528;702 m;Flag, Green;;;;;;;;;;;;;;
1480-0940;51.56696 ;118.24903;708 m;Flag, Green;;;;;;;;;;;;;;
1480-0960;51.56614 ;118.25159;720 m;Flag, Red;;;;;;;;;;;;;;
1480-0980;51.56542 ;118.25471;768 m;Flag, Red;;;;;;;;;;;;;;
1480-1000;51.56427 ;118.25607;748 m;Flag, Red;;;;;;;;;;;;;;
1480-1020;51.56336 ;118.25849;733 m;Flag, Red;;;;;;;;;;;;;;
1480-1040;51.56251 ;118.26091;719 m;Flag, Red;;;;;;;;;;;;;;
1480-1060;51.56155 ;118.26317;722 m;Flag, Red;;;;;;;;;;;;;;
1480-1080;51.56051 ;118.26582;726 m;Flag, Red;;;;;;;;;;;;;;
1480-1100;51.55961 ;118.26845;729 m;Flag, Red;;;;;;;;;;;;;;
1480-1120;51.55875 ;118.27090;734 m;Flag, Red;;;;;;;;;;;;;;
1480-1140;51.55781 ;118.27329;741 m;Flag, Red;;;;;;;;;;;;;;
1480-1160;51.55695 ;118.27567;743 m;Flag, Red;;;;;;;;;;;;;;
1480-1180;51.55594 ;118.27838;745 m;Flag, Red;;;;;;;;;;;;;;
1480-1200;51.55498 ;118.28084;742 m;Flag, Red;;;;;;;;;;;;;;
1480-1220;51.55411 ;118.28321;734 m;Flag, Red;;;;;;;;;;;;;;
1480-1240;51.55330 ;118.28580;725 m;Flag, Red;;;;;;;;;;;;;;
1480-1260;51.55230 ;118.28816;722 m;Flag, Red;;;;;;;;;;;;;;
1480-1280;51.55129 ;118.29074;711 m;Flag, Red;;;;;;;;;;;;;;
1480-1300;51.55038 ;118.29315;701 m;Flag, Green;;;;;;;;;;;;;;
1480-1320;51.54945 ;118.29564;692 m;Flag, Green;;;;;;;;;;;;;;
1480-1340;51.54838 ;118.29866;690 m;Flag, Green;;;;;;;;;;;;;;
1480-1360;51.54777 ;118.29995;685 m;Flag, Green;;;;;;;;;;;;;;
1500-0440;51.59154 ;118.18898;809 m;Flag, Red;;;;;;;;;;;;;;
1500-0460;51.59080 ;118.19086;798 m;Flag, Red;;;;;;;;;;;;;;
1500-0480;51.58990 ;118.19318;791 m;Flag, Red;;;;;;;;;;;;;;
1500-0500;51.58884 ;118.19585;789 m;Flag, Red;;;;;;;;;;;;;;
1500-0520;51.58804 ;118.19796;786 m;Flag, Red;;;;;;;;;;;;;;
1500-0540;51.58710 ;118.20042;780 m;Flag, Red;;;;;;;;;;;;;;
1500-0560;51.58594 ;118.20308;811 m;Flag, Red;;;;;;;;;;;;;;
1500-0580;51.58520 ;118.20594;847 m;Flag, Red;;;;;;;;;;;;;;
1500-0600;51.58432 ;118.20807;876 m;Flag, Red;;;;;;;;;;;;;;
1500-0620;51.58339 ;118.21055;892 m;Flag, Red;;;;;;;;;;;;;;
1500-0640;51.58230 ;118.21302;862 m;Flag, Red;;;;;;;;;;;;;;
1500-0660;51.58132 ;118.21545;847 m;Flag, Red;;;;;;;;;;;;;;
1500-0680;51.58057 ;118.21796;835 m;Flag, Red;;;;;;;;;;;;;;
1500-0700;51.57968 ;118.22077;803 m;Flag, Red;;;;;;;;;;;;;;
1500-0720;51.57869 ;118.22309;804 m;Flag, Red;;;;;;;;;;;;;;
1500-0740;51.57787 ;118.22551;803 m;Flag, Red;;;;;;;;;;;;;;
1500-0760;51.57698 ;118.22803;780 m;Flag, Red;;;;;;;;;;;;;;
1500-0780;51.57597 ;118.23127;759 m;Flag, Red;;;;;;;;;;;;;;
1500-0800;51.57498 ;118.23261;747 m;Flag, Red;;;;;;;;;;;;;;
1500-0820;51.57417 ;118.23552;734 m;Flag, Red;;;;;;;;;;;;;;
1500-0840;51.57329 ;118.23762;721 m;Flag, Green;;;;;;;;;;;;;;
1500-0860;51.57276 ;118.23957;718 m;Flag, Green;;;;;;;;;;;;;;
1500-0880;51.57135 ;118.24275;;Crossing;;;;;;;;;;;;;;
1500-0900;51.57043 ;118.24522;;Crossing;;;;;;;;;;;;;;
1500-0920;51.56938 ;118.24867;708 m;Flag, Green;;;;;;;;;;;;;;
1500-0940;51.56853 ;118.25014;722 m;Flag, Green;;;;;;;;;;;;;;
1500-0960;51.56765 ;118.25257;746 m;Flag, Red;;;;;;;;;;;;;;
1500-0980;51.56640 ;118.25573;765 m;Flag, Red;;;;;;;;;;;;;;
1500-1000;51.56589 ;118.25771;749 m;Flag, Red;;;;;;;;;;;;;;
1500-1020;51.56488 ;118.26007;737 m;Flag, Red;;;;;;;;;;;;;;
1500-1040;51.56384 ;118.26246;728 m;Flag, Red;;;;;;;;;;;;;;
1500-1060;51.56302 ;118.26504;733 m;Flag, Red;;;;;;;;;;;;;;
1500-1080;51.56210 ;118.26747;;Flag, Red;;;;;;;;;;;;;;
1500-1100;51.56107 ;118.27002;735 m;Flag, Red;;;;;;;;;;;;;;
1500-1120;51.56028 ;118.27253;735 m;Flag, Red;;;;;;;;;;;;;;
1500-1140;51.55929 ;118.27529;735 m;Flag, Red;;;;;;;;;;;;;;
1500-1160;51.55830 ;118.27740;736 m;Flag, Red;;;;;;;;;;;;;;
1500-1180;51.55747 ;118.27989;730 m;Flag, Red;;;;;;;;;;;;;;
1500-1200;51.55636 ;118.28234;729 m;Flag, Red;;;;;;;;;;;;;;
1500-1220;51.55528 ;118.28491;721 m;Flag, Red;;;;;;;;;;;;;;
1500-1240;51.55451 ;118.28719;709 m;Flag, Red;;;;;;;;;;;;;;
1500-1260;51.55367 ;118.28970;705 m;Flag, Red;;;;;;;;;;;;;;
1500-1280;51.55261 ;118.29206;703 m;Flag, Green;;;;;;;;;;;;;;
1500-1300;51.55157 ;118.29447;691 m;Flag, Green;;;;;;;;;;;;;;
1500-1320;51.55060 ;118.29655;687 m;Flag, Green;;;;;;;;;;;;;;
1500-1340;51.54981 ;118.29961;684 m;Flag, Green;;;;;;;;;;;;;;
1500-1360;51.54953 ;118.30129;681 m;Flag, Green;;;;;;;;;;;;;;
1520-0440;51.59283 ;118.19037;793 m;Flag, Red;;;;;;;;;;;;;;
1520-0460;51.59222 ;118.19197;792 m;Flag, Red;;;;;;;;;;;;;;
1520-0480;51.59112 ;118.19482;781 m;Flag, Red;;;;;;;;;;;;;;
1520-0500;51.59051 ;118.19679;783 m;Flag, Red;;;;;;;;;;;;;;
1520-0520;51.58946 ;118.19952;772 m;Flag, Red;;;;;;;;;;;;;;
1520-0540;51.58837 ;118.20242;783 m;Flag, Red;;;;;;;;;;;;;;
1520-0560;51.58767 ;118.20503;803 m;Flag, Red;;;;;;;;;;;;;;
1520-0580;51.58675 ;118.20737;819 m;Flag, Red;;;;;;;;;;;;;;
1520-0600;51.58561 ;118.20912;847 m;Flag, Red;;;;;;;;;;;;;;
1520-0620;51.58526 ;118.21229;859 m;Flag, Red;;;;;;;;;;;;;;
1520-0640;51.58383 ;118.21456;845 m;Flag, Red;;;;;;;;;;;;;;
1520-0660;51.58303 ;118.21637;819 m;Flag, Red;;;;;;;;;;;;;;
1520-0680;51.58245 ;118.21943;799 m;Flag, Red;;;;;;;;;;;;;;
1520-0700;51.58128 ;118.22140;788 m;Flag, Red;;;;;;;;;;;;;;
1520-0720;51.58011 ;118.22420;768 m;Flag, Red;;;;;;;;;;;;;;
1520-0740;51.57926 ;118.22697;766 m;Flag, Red;;;;;;;;;;;;;;
1520-0760;51.57842 ;118.22945;759 m;Flag, Red;;;;;;;;;;;;;;
1520-0780;51.57694 ;118.23250;748 m;Flag, Red;;;;;;;;;;;;;;
1520-0800;51.57642 ;118.23480;734 m;Flag, Red;;;;;;;;;;;;;;
1520-0820;51.57576 ;118.23675;725 m;Flag, Green;;;;;;;;;;;;;;
1520-0840;51.57469 ;118.23942;716 m;Flag, Green;;;;;;;;;;;;;;
1520-0860;51.57417 ;118.24068;712 m;Flag, Green;;;;;;;;;;;;;;
1520-0880;51.57287 ;118.24426;754 m;Crossing;;;;;;;;;;;;;;
1520-0900;51.57197 ;118.24671;;Crossing;;;;;;;;;;;;;;
1520-0920;51.57075 ;118.24976;718 m;Flag, Red;;;;;;;;;;;;;;
1520-0940;51.57020 ;118.25138;723 m;Flag, Red;;;;;;;;;;;;;;
1520-0960;51.56970 ;118.25367;737 m;Flag, Red;;;;;;;;;;;;;;
1520-0980;51.56778 ;118.25675;760 m;Flag, Red;;;;;;;;;;;;;;
1520-1000;51.56743 ;118.25908;755 m;Flag, Red;;;;;;;;;;;;;;
1520-1020;51.56644 ;118.26141;749 m;Flag, Red;;;;;;;;;;;;;;
1520-1040;51.56549 ;118.26401;;Flag, Red;;;;;;;;;;;;;;
1520-1060;51.56469 ;118.26650;747 m;Flag, Red;;;;;;;;;;;;;;
1520-1080;51.56359 ;118.26896;745 m;Flag, Red;;;;;;;;;;;;;;
1520-1100;51.56255 ;118.27111;742 m;Flag, Red;;;;;;;;;;;;;;
1520-1120;51.56120 ;118.27339;734 m;Flag, Red;;;;;;;;;;;;;;
1520-1140;51.56086 ;118.27638;;Flag, Red;;;;;;;;;;;;;;
1520-1160;51.55991 ;118.27851;729 m;Flag, Red;;;;;;;;;;;;;;
1520-1180;51.55891 ;118.28127;719 m;Flag, Red;;;;;;;;;;;;;;
1520-1200;51.55794 ;118.28383;713 m;Flag, Red;;;;;;;;;;;;;;
1520-1220;51.55700 ;118.28636;709 m;Flag, Red;;;;;;;;;;;;;;
1520-1240;51.55608 ;118.28870;704 m;Flag, Red;;;;;;;;;;;;;;
1520-1260;51.55528 ;118.29135;702 m;Flag, Green;;;;;;;;;;;;;;
1520-1280;51.55440 ;118.29377;699 m;Flag, Green;;;;;;;;;;;;;;
1520-1300;51.55348 ;118.29616;694 m;Flag, Green;;;;;;;;;;;;;;
1520-1320;51.55258 ;118.29828;692 m;Flag, Green;;;;;;;;;;;;;;
1520-1340;51.55083 ;118.30050;;Flag, Green;;;;;;;;;;;;;;
1520-1360;51.55085 ;118.30247;673 m;Flag, Green;;;;;;;;;;;;;;
1540-0440;51.59480 ;118.19198;795 m;Flag, Red;;;;;;;;;;;;;;
1540-0460;51.59395 ;118.19442;776 m;Flag, Red;;;;;;;;;;;;;;
1540-0480;51.59317 ;118.19609;771 m;Flag, Red;;;;;;;;;;;;;;
1540-0500;51.59157 ;118.19822;764 m;Flag, Red;;;;;;;;;;;;;;
1540-0520;51.59087 ;118.20060;761 m;Flag, Red;;;;;;;;;;;;;;
1540-0540;51.59047 ;118.20376;763 m;Flag, Red;;;;;;;;;;;;;;
1540-0560;51.58949 ;118.20617;776 m;Flag, Red;;;;;;;;;;;;;;
1540-0580;51.58803 ;118.20825;795 m;Flag, Red;;;;;;;;;;;;;;
1540-0580К;51.58803 ;118.20825;795 m;Waypoint;;;;;;;;;;;;;;Категория 2
1540-0600;51.58738 ;118.21099;809 m;Flag, Red;;;;;;;;;;;;;;
1540-0620;51.58642 ;118.21326;823 m;Flag, Red;;;;;;;;;;;;;;
1540-0640;51.58530 ;118.21625;843 m;Flag, Red;;;;;;;;;;;;;;
1540-0660;51.58470 ;118.21855;824 m;Flag, Red;;;;;;;;;;;;;;
1540-0660К;51.58470 ;118.21855;824 m;Waypoint;;;;;;;;;;;;;;Категория 2
1540-0680;51.58370 ;118.22098;798 m;Flag, Red;;;;;;;;;;;;;;
1540-0700;51.58247 ;118.22320;771 m;Flag, Red;;;;;;;;;;;;;;
1540-0720;51.58179 ;118.22570;744 m;Flag, Red;;;;;;;;;;;;;;
1540-0740;51.58079 ;118.22838;754 m;Flag, Red;;;;;;;;;;;;;;
1540-0760;51.58001 ;118.23262;736 m;Flag, Red;;;;;;;;;;;;;;
1540-0780;51.57870 ;118.23391;729 m;Flag, Red;;;;;;;;;;;;;;
1540-0800;51.57826 ;118.23581;723 m;Flag, Green;;;;;;;;;;;;;;
1540-0820;51.57727 ;118.23806;715 m;Flag, Green;;;;;;;;;;;;;;
1540-0840;51.57628 ;118.24078;707 m;Flag, Green;;;;;;;;;;;;;;
1540-0860;51.57536 ;118.24324;;Crossing;;;;;;;;;;;;;;
1540-0880;51.57443 ;118.24572;;Crossing;;;;;;;;;;;;;;
1540-0900;51.57333 ;118.24901;714 m;Flag, Green;;;;;;;;;;;;;;
1540-0920;51.57237 ;118.25079;721 m;Flag, Green;;;;;;;;;;;;;;
1540-0940;51.57161 ;118.25251;734 m;Flag, Red;;;;;;;;;;;;;;
1540-0960;51.57095 ;118.25485;747 m;Flag, Red;;;;;;;;;;;;;;
1540-0980;51.56968 ;118.25820;755 m;Flag, Red;;;;;;;;;;;;;;
1540-1000;51.56841 ;118.26136;753 m;Flag, Red;;;;;;;;;;;;;;
1540-1020;51.56772 ;118.26358;746 m;Flag, Red;;;;;;;;;;;;;;
1540-1040;51.56702 ;118.26558;744 m;Flag, Red;;;;;;;;;;;;;;
1540-1060;51.56615 ;118.26801;744 m;Flag, Red;;;;;;;;;;;;;;
1540-1080;51.56512 ;118.27067;747 m;Flag, Red;;;;;;;;;;;;;;
1540-1080К;51.56512 ;118.27067;747 m;Waypoint;;;;;;;;;;;;;;Категория 2
1540-1100;51.56434 ;118.27284;744 m;Flag, Red;;;;;;;;;;;;;;
1540-1120;51.56339 ;118.27544;740 m;Flag, Red;;;;;;;;;;;;;;
1540-1140;51.56228 ;118.27800;736 m;Flag, Red;;;;;;;;;;;;;;
1540-1160;51.56137 ;118.28040;734 m;Flag, Red;;;;;;;;;;;;;;
1540-1180;51.56057 ;118.28274;732 m;Flag, Red;;;;;;;;;;;;;;
1540-1200;51.55964 ;118.28555;725 m;Flag, Red;;;;;;;;;;;;;;
1540-1220;51.55871 ;118.28766;718 m;Flag, Red;;;;;;;;;;;;;;
1540-1240;51.55780 ;118.29021;717 m;Flag, Red;;;;;;;;;;;;;;
1540-1240К;51.55780 ;118.29021;717 m;Waypoint;;;;;;;;;;;;;;Категория 2
1540-1260;51.55688 ;118.29278;713 m;Flag, Red;;;;;;;;;;;;;;
1540-1280;51.55592 ;118.29527;709 m;Flag, Red;;;;;;;;;;;;;;
1540-1300;51.55502 ;118.29776;702 m;Flag, Green;;;;;;;;;;;;;;
1540-1320;51.55401 ;118.30009;695 m;Flag, Green;;;;;;;;;;;;;;
1540-1340;51.55358 ;118.30240;685 m;Flag, Green;;;;;;;;;;;;;;
1560-0440;51.59626 ;118.19392;801 m;Flag, Red;;;;;;;;;;;;;;
1560-0460;51.59537 ;118.19516;786 m;Flag, Red;;;;;;;;;;;;;;
1560-0480;51.59453 ;118.19760;774 m;Flag, Red;;;;;;;;;;;;;;
1560-0500;51.59359 ;118.20035;768 m;Flag, Red;;;;;;;;;;;;;;
1560-0520;51.59260 ;118.20269;752 m;Crossing;;;;;;;;;;;;;;
1560-0540;51.59215 ;118.20604;750 m;Flag, Red;;;;;;;;;;;;;;
1560-0560;51.59142 ;118.20700;778 m;Flag, Red;;;;;;;;;;;;;;
1560-0580;51.58972 ;118.21029;775 m;Flag, Red;;;;;;;;;;;;;;
1560-0600;51.58910 ;118.21275;785 m;Flag, Red;;;;;;;;;;;;;;
1560-0620;51.58851 ;118.21571;793 m;Flag, Red;;;;;;;;;;;;;;
1560-0640;51.58767 ;118.21779;792 m;Flag, Red;;;;;;;;;;;;;;
1560-0660;51.58637 ;118.21996;806 m;Flag, Red;;;;;;;;;;;;;;
1560-0680;51.58533 ;118.22241;782 m;Flag, Red;;;;;;;;;;;;;;
1560-0700;51.58420 ;118.22503;767 m;Flag, Red;;;;;;;;;;;;;;
1560-0720;51.58321 ;118.22699;751 m;Flag, Red;;;;;;;;;;;;;;
1560-0740;51.58238 ;118.22983;733 m;Flag, Green;;;;;;;;;;;;;;
1560-0760;51.58166 ;118.23280;737 m;Flag, Green;;;;;;;;;;;;;;
1560-0780;51.58067 ;118.23542;724 m;Flag, Green;;;;;;;;;;;;;;
1560-0800;51.57975 ;118.23736;714 m;Flag, Green;;;;;;;;;;;;;;
1560-0820;51.57867 ;118.23981;715 m;Flag, Green;;;;;;;;;;;;;;
1560-0840;51.57734 ;118.24296;718 m;Crossing;;;;;;;;;;;;;;
1560-0860;51.57692 ;118.24417;714 m;Flag, Green;;;;;;;;;;;;;;
1560-0880;51.57591 ;118.24708;712 m;Flag, Green;;;;;;;;;;;;;;
1560-0900;51.57502 ;118.24956;724 m;Flag, Green;;;;;;;;;;;;;;
1560-0920;51.57423 ;118.25209;736 m;Flag, Green;;;;;;;;;;;;;;
1560-0940;51.57335 ;118.25449;749 m;Flag, Red;;;;;;;;;;;;;;
1560-0960;51.57241 ;118.25720;752 m;Flag, Red;;;;;;;;;;;;;;
1560-0980;51.57190 ;118.25880;754 m;Flag, Red;;;;;;;;;;;;;;
1560-0990;51.57133 ;118.25963;757 m;Flag, Red;;;;;;;;;;;;;;
1560-1000;51.57055 ;118.26190;750 m;Flag, Red;;;;;;;;;;;;;;
1560-1020;51.56966 ;118.26440;746 m;Flag, Red;;;;;;;;;;;;;;
1560-1040;51.56867 ;118.26701;742 m;Flag, Red;;;;;;;;;;;;;;
1560-1060;51.56785 ;118.26935;740 m;Flag, Red;;;;;;;;;;;;;;
1560-1080;51.56674 ;118.27142;742 m;Flag, Red;;;;;;;;;;;;;;
1560-1100;51.56575 ;118.27418;743 m;Flag, Red;;;;;;;;;;;;;;
1560-1120;51.56477 ;118.27654;740 m;Flag, Red;;;;;;;;;;;;;;
1560-1140;51.56385 ;118.27906;739 m;Flag, Red;;;;;;;;;;;;;;
1560-1160;51.56300 ;118.28184;741 m;Flag, Red;;;;;;;;;;;;;;
1560-1180;51.56202 ;118.28404;736 m;Flag, Red;;;;;;;;;;;;;;
1560-1200;51.56118 ;118.28678;743 m;Flag, Red;;;;;;;;;;;;;;
1560-1200К;51.56118 ;118.28678;743 m;Waypoint;;;;;;;;;;;;;;Категория 2
1560-1220;51.56035 ;118.28908;752 m;Civil;;;;;;;;;;;;;;
1560-1240;51.55931 ;118.29177;743 m;Civil;;;;;;;;;;;;;;
1560-1260;51.55839 ;118.29436;736 m;Flag, Red;;;;;;;;;;;;;;
1560-1280;51.55747 ;118.29675;726 m;Flag, Red;;;;;;;;;;;;;;
1560-1300;51.55652 ;118.29915;713 m;Flag, Red;;;;;;;;;;;;;;
1560-1320;51.55556 ;118.30144;699 m;Flag, Red;;;;;;;;;;;;;;
1560-1340;51.55450 ;118.30325;686 m;Flag, Red;;;;;;;;;;;;;;
1580-0460;51.59631 ;118.19602;792 m;Flag, Red;;;;;;;;;;;;;;
1580-0480;51.59632 ;118.19919;790 m;Flag, Red;;;;;;;;;;;;;;
1580-0500;51.59501 ;118.20163;774 m;Flag, Red;;;;;;;;;;;;;;
1580-0520;51.59403 ;118.20408;751 m;Flag, Green;;;;;;;;;;;;;;
1580-0540;51.59313 ;118.20687;755 m;Flag, Green;;;;;;;;;;;;;;
1580-0560;51.59189 ;118.20897;771 m;Flag, Red;;;;;;;;;;;;;;
1580-0580;51.59134 ;118.21198;761 m;Flag, Red;;;;;;;;;;;;;;
1580-0600;51.59046 ;118.21377;771 m;Flag, Red;;;;;;;;;;;;;;
1580-0620;51.58956 ;118.21770;774 m;Flag, Red;;;;;;;;;;;;;;
1580-0640;51.58847 ;118.21909;776 m;Flag, Red;;;;;;;;;;;;;;
1580-0660;51.58762 ;118.22176;778 m;Flag, Red;;;;;;;;;;;;;;
1580-0680;51.58685 ;118.22412;754 m;Flag, Red;;;;;;;;;;;;;;
1580-0700;51.58588 ;118.22686;748 m;Flag, Green;;;;;;;;;;;;;;
1580-0720;51.58504 ;118.22913;737 m;Flag, Green;;;;;;;;;;;;;;
1580-0740;51.58396 ;118.23187;728 m;Flag, Green;;;;;;;;;;;;;;
1580-0760;51.58308 ;118.23395;730 m;Flag, Green;;;;;;;;;;;;;;
1580-0780;51.58203 ;118.23635;724 m;Flag, Green;;;;;;;;;;;;;;
1580-0800;51.58112 ;118.23859;720 m;Flag, Green;;;;;;;;;;;;;;
1580-0820;51.58040 ;118.24253;714 m;Flag, Green;;;;;;;;;;;;;;
1580-0840;51.57956 ;118.24435;719 m;Flag, Green;;;;;;;;;;;;;;
1580-0860;51.57863 ;118.24650;715 m;Flag, Green;;;;;;;;;;;;;;
1580-0880;51.57774 ;118.24893;724 m;Flag, Green;;;;;;;;;;;;;;
1580-0900;51.57677 ;118.25169;736 m;Flag, Red;;;;;;;;;;;;;;
1580-0920;51.57586 ;118.25395;746 m;Flag, Red;;;;;;;;;;;;;;
1580-0940;51.57482 ;118.25645;757 m;Flag, Red;;;;;;;;;;;;;;
1580-0960;51.57377 ;118.25834;756 m;Flag, Red;;;;;;;;;;;;;;
1580-0980;51.57310 ;118.26017;756 m;Flag, Red;;;;;;;;;;;;;;
1580-1000;51.57196 ;118.26373;747 m;Flag, Red;;;;;;;;;;;;;;
1580-1020;51.57092 ;118.26568;743 m;Flag, Red;;;;;;;;;;;;;;
1580-1040;51.57003 ;118.26836;736 m;Flag, Red;;;;;;;;;;;;;;
1580-1060;51.56913 ;118.27054;734 m;Flag, Red;;;;;;;;;;;;;;
1580-1080;51.56812 ;118.27306;731 m;Flag, Red;;;;;;;;;;;;;;
1580-1100;51.56731 ;118.27585;727 m;Flag, Red;;;;;;;;;;;;;;
1580-1120;51.56644 ;118.27884;727 m;Flag, Red;;;;;;;;;;;;;;
1580-1140;51.56561 ;118.28091;730 m;Flag, Red;;;;;;;;;;;;;;
1580-1160;51.56442 ;118.28310;733 m;Flag, Red;;;;;;;;;;;;;;
1580-1180;51.56375 ;118.28598;733 m;Flag, Red;;;;;;;;;;;;;;
1580-1200;51.56258 ;118.28777;737 m;Flag, Red;;;;;;;;;;;;;;
1580-1220;51.56165 ;118.29045;744 m;Flag, Red;;;;;;;;;;;;;;
1580-1240;51.56079 ;118.29312;743 m;Flag, Red;;;;;;;;;;;;;;
1580-1260;51.55982 ;118.29602;734 m;Flag, Red;;;;;;;;;;;;;;
1580-1280;51.55918 ;118.29871;726 m;Flag, Red;;;;;;;;;;;;;;
1580-1300;51.55824 ;118.30054;716 m;Flag, Red;;;;;;;;;;;;;;
1580-1320;51.55722 ;118.30273;707 m;Flag, Red;;;;;;;;;;;;;;
1580-1340;51.55626 ;118.30601;681 m;Flag, Red;;;;;;;;;;;;;;
1600-0460;51.59862 ;118.19834;796 m;Flag, Red;;;;;;;;;;;;;;
1600-0480;51.59748 ;118.20065;790 m;Flag, Red;;;;;;;;;;;;;;
1600-0500;51.59666 ;118.20311;770 m;Flag, Red;;;;;;;;;;;;;;
1600-0520;51.59569 ;118.20565;757 m;Flag, Green;;;;;;;;;;;;;;
1600-0540;51.59477 ;118.20828;746 m;Flag, Green;;;;;;;;;;;;;;
1600-0560;51.59323 ;118.21059;754 m;Flag, Green;;;;;;;;;;;;;;
1600-0580;51.59268 ;118.21316;743 m;Flag, Green;;;;;;;;;;;;;;
1600-0600;51.59198 ;118.21545;758 m;Flag, Red;;;;;;;;;;;;;;
1600-0620;51.59105 ;118.21858;753 m;Flag, Green;;;;;;;;;;;;;;
1600-0640;51.59022 ;118.22003;752 m;Flag, Green;;;;;;;;;;;;;;
1600-0660;51.58924 ;118.22314;749 m;Flag, Green;;;;;;;;;;;;;;
1600-0680;51.58839 ;118.22564;751 m;Flag, Green;;;;;;;;;;;;;;
1600-0700;51.58749 ;118.22739;741 m;Flag, Green;;;;;;;;;;;;;;
1600-0720;51.58607 ;118.22929;735 m;Flag, Green;;;;;;;;;;;;;;
1600-0740;51.58519 ;118.23166;727 m;Flag, Green;;;;;;;;;;;;;;
1600-0760;51.58447 ;118.23423;721 m;Flag, Green;;;;;;;;;;;;;;
1600-0780;51.58325 ;118.23761;721 m;Crossing;;;;;;;;;;;;;;
1600-0800;51.58197 ;118.24043;717 m;Crossing;;;;;;;;;;;;;;
1600-0820;51.58164 ;118.24184;717 m;Flag, Green;;;;;;;;;;;;;;
1600-0840;51.58091 ;118.24529;724 m;Flag, Green;;;;;;;;;;;;;;
1600-0860;51.57989 ;118.24773;727 m;Flag, Green;;;;;;;;;;;;;;
1600-0880;51.57892 ;118.25016;739 m;Flag, Green;;;;;;;;;;;;;;
1600-0900;51.57819 ;118.25269;748 m;Flag, Green;;;;;;;;;;;;;;
1600-0920;51.57721 ;118.25510;756 m;Flag, Red;;;;;;;;;;;;;;
1600-0940;51.57636 ;118.25776;757 m;Flag, Red;;;;;;;;;;;;;;
1600-0960;51.57551 ;118.26020;754 m;Flag, Red;;;;;;;;;;;;;;
1600-0980;51.57503 ;118.26227;750 m;Flag, Red;;;;;;;;;;;;;;
1600-1000;51.57338 ;118.26511;734 m;Flag, Red;;;;;;;;;;;;;;
1600-1020;51.57263 ;118.26744;727 m;Flag, Red;;;;;;;;;;;;;;
1600-1040;51.57169 ;118.26998;723 m;Flag, Red;;;;;;;;;;;;;;
1600-1060;51.57080 ;118.27252;718 m;Flag, Red;;;;;;;;;;;;;;
1600-1080;51.56989 ;118.27496;718 m;Flag, Red;;;;;;;;;;;;;;
1600-1100;51.56871 ;118.27737;717 m;Flag, Red;;;;;;;;;;;;;;
1600-1120;51.56766 ;118.27980;717 m;Flag, Red;;;;;;;;;;;;;;
1600-1140;51.56687 ;118.28242;717 m;Flag, Red;;;;;;;;;;;;;;
1600-1160;51.56605 ;118.28482;718 m;Flag, Red;;;;;;;;;;;;;;
1600-1180;51.56513 ;118.28723;722 m;Flag, Red;;;;;;;;;;;;;;
1600-1200;51.56431 ;118.28978;721 m;Flag, Red;;;;;;;;;;;;;;
1600-1220;51.56320 ;118.29216;728 m;Flag, Red;;;;;;;;;;;;;;
1600-1240;51.56220 ;118.29462;727 m;Flag, Red;;;;;;;;;;;;;;
1600-1260;51.56115 ;118.29708;726 m;Flag, Red;;;;;;;;;;;;;;
1600-1280;51.56047 ;118.29958;712 m;Flag, Red;;;;;;;;;;;;;;
1600-1300;51.55951 ;118.30206;703 m;Flag, Red;;;;;;;;;;;;;;
1600-1320;51.55888 ;118.30348;696 m;Flag, Red;;;;;;;;;;;;;;
1600-1320К;51.55888 ;118.30348;696 m;Waypoint;;;;;;;;;;;;;;Категория 2
1600-1340;51.55819 ;118.30627;682 m;Flag, Red;;;;;;;;;;;;;;
1620-0460;51.60004 ;118.19962;796 m;Flag, Red;;;;;;;;;;;;;;
1620-0460К;51.60004 ;118.19962;796 m;Waypoint;;;;;;;;;;;;;;Категория 2
1620-0480;51.59857 ;118.20199;782 m;Flag, Red;;;;;;;;;;;;;;
1620-0500;51.59813 ;118.20468;773 m;Flag, Red;;;;;;;;;;;;;;
1620-0520;51.59736 ;118.20719;759 m;Flag, Green;;;;;;;;;;;;;;
1620-0540;51.59593 ;118.21032;753 m;Flag, Green;;;;;;;;;;;;;;
1620-0560;51.59551 ;118.21268;744 m;Flag, Green;;;;;;;;;;;;;;
1620-0580;51.59424 ;118.21486;732 m;Flag, Green;;;;;;;;;;;;;;
1620-0600;51.59371 ;118.21735;743 m;Flag, Green;;;;;;;;;;;;;;
1620-0620;51.59225 ;118.21988;742 m;Flag, Green;;;;;;;;;;;;;;
1620-0640;51.59160 ;118.22168;736 m;Flag, Green;;;;;;;;;;;;;;
1620-0660;51.59045 ;118.22363;738 m;Flag, Green;;;;;;;;;;;;;;
1620-0680;51.58981 ;118.22685;723 m;Flag, Green;;;;;;;;;;;;;;
1620-0700;51.58883 ;118.22909;719 m;Flag, Green;;;;;;;;;;;;;;
1620-0720;51.58789 ;118.23045;718 m;Crossing;;;;;;;;;;;;;;
1620-0740;51.58702 ;118.23303;716 m;Crossing;;;;;;;;;;;;;;
1620-0760;51.58617 ;118.23705;716 m;Flag, Green;;;;;;;;;;;;;;
1620-0780;51.58526 ;118.23960;720 m;Flag, Green;;;;;;;;;;;;;;
1620-0800;51.58436 ;118.24169;726 m;Flag, Green;;;;;;;;;;;;;;
